250	0.7
250.01	0.694
250.02	0.679
250.03	0.66
250.04	0.639
250.05	0.618
250.06	0.595
250.07	0.567
250.08	0.529
250.09	0.478
250.1	0.419
250.11	0.355
250.12	0.294
250.13	0.237
250.14	0.187
250.15	0.144
250.16	0.108
250.17	0.079
250.18	0.056
250.19	0.04
250.2	0.033
250.21	0.034
250.22	0.038
250.23	0.035
250.24	0.02
250.25	-0.007
250.26	-0.035
250.27	-0.057
250.28	-0.069
250.29	-0.076
250.3	-0.08
250.31	-0.085
250.32	-0.093
250.33	-0.103
250.34	-0.117
250.35	-0.137
250.36	-0.162
250.37	-0.193
250.38	-0.231
250.39	-0.275
250.4	-0.324
250.41	-0.381
250.42	-0.444
250.43	-0.51
250.44	-0.572
250.45	-0.622
250.46	-0.659
250.47	-0.69
250.48	-0.725
250.49	-0.768
250.5	-0.818
250.51	-0.872
250.52	-0.927
250.53	-0.986
250.54	-1.053
250.55	-1.127
250.56	-1.197
250.57	-1.252
250.58	-1.287
250.59	-1.306
250.6	-1.315
250.61	-1.317
250.62	-1.303
250.63	-1.262
250.64	-1.191
250.65	-1.095
250.66	-0.985
250.67	-0.867
250.68	-0.74
250.69	-0.602
250.7	-0.451
250.71	-0.295
250.72	-0.142
250.73	-0.003
250.74	0.115
250.75	0.203
250.76	0.258
250.77	0.283
250.78	0.287
250.79	0.278
250.8	0.258
250.81	0.229
250.82	0.19
250.83	0.144
250.84	0.096
250.85	0.052
250.86	0.01
250.87	-0.032
250.88	-0.078
250.89	-0.131
250.9	-0.193
250.91	-0.266
250.92	-0.344
250.93	-0.417
250.94	-0.475
250.95	-0.511
250.96	-0.522
250.97	-0.509
250.98	-0.473
250.99	-0.421
251	-0.358
251.01	-0.289
251.02	-0.216
251.03	-0.141
251.04	-0.068
251.05	-0.007
251.06	0.031
251.07	0.039
251.08	0.015
251.09	-0.04
251.1	-0.123
251.11	-0.234
251.12	-0.373
251.13	-0.535
251.14	-0.716
251.15	-0.905
251.16	-1.094
