253.31	0.9
253.32	0.826
253.33	0.757
253.34	0.695
253.35	0.645
253.36	0.606
253.37	0.58
253.38	0.565
253.39	0.563
253.4	0.57
253.41	0.584
253.42	0.602
253.43	0.621
253.44	0.639
253.45	0.656
253.46	0.67
253.47	0.679
253.48	0.682
253.49	0.677
253.5	0.661
253.51	0.635
253.52	0.597
253.53	0.549
253.54	0.491
253.55	0.428
253.56	0.368
253.57	0.317
253.58	0.281
253.59	0.254
253.6	0.23
253.61	0.202
253.62	0.163
253.63	0.105
253.64	0.029
253.65	-0.052
253.66	-0.122
253.67	-0.17
253.68	-0.192
253.69	-0.192
253.7	-0.173
253.71	-0.143
253.72	-0.107
253.73	-0.072
253.74	-0.046
253.75	-0.032
253.76	-0.033
253.77	-0.042
253.78	-0.046
253.79	-0.038
253.8	-0.015
253.81	0.02
253.82	0.062
253.83	0.104
253.84	0.141
253.85	0.168
253.86	0.185
253.87	0.199
253.88	0.213
253.89	0.231
253.9	0.25
253.91	0.268
253.92	0.281
253.93	0.283
253.94	0.27
253.95	0.242
253.96	0.2
253.97	0.149
253.98	0.092
253.99	0.032
254	-0.03
254.01	-0.086
254.02	-0.127
254.03	-0.145
254.04	-0.144
254.05	-0.135
254.06	-0.133
254.07	-0.143
254.08	-0.162
254.09	-0.183
254.1	-0.201
254.11	-0.218
254.12	-0.235
254.13	-0.253
254.14	-0.275
254.15	-0.301
254.16	-0.333
254.17	-0.372
254.18	-0.419
254.19	-0.473
254.2	-0.529
254.21	-0.585
254.22	-0.632
254.23	-0.657
254.24	-0.648
254.25	-0.601
254.26	-0.522
254.27	-0.422
254.28	-0.312
254.29	-0.205
254.3	-0.113
254.31	-0.044
254.32	-0.006
254.33	-0.005
254.34	-0.042
254.35	-0.119
254.36	-0.234
254.37	-0.382
254.38	-0.553
254.39	-0.735
254.4	-0.919
254.41	-1.099
254.42	-1.272
254.43	-1.433
254.44	-1.572
254.45	-1.674
254.46	-1.732
254.47	-1.742
254.48	-1.705
254.49	-1.628
254.5	-1.523
254.51	-1.402
254.52	-1.278
254.53	-1.157
254.54	-1.042
254.55	-0.935
254.56	-0.844
254.57	-0.78
254.58	-0.754
254.59	-0.773
254.6	-0.841
254.61	-0.958
254.62	-1.119
254.63	-1.311
254.64	-1.524
254.65	-1.744
254.66	-1.959
254.67	-2.157
254.68	-2.327
254.69	-2.453
254.7	-2.526
254.71	-2.542
254.72	-2.506
254.73	-2.423
254.74	-2.298
254.75	-2.13
254.76	-1.919
254.77	-1.672
254.78	-1.402
254.79	-1.121
254.8	-0.838
254.81	-0.557
254.82	-0.28
254.83	-0.011
254.84	0.249
254.85	0.498
254.86	0.73
254.87	0.936
254.88	1.106
254.89	1.236
254.9	1.329
254.91	1.392
254.92	1.427
254.93	1.436
254.94	1.417
254.95	1.37
254.96	1.301
254.97	1.214
254.98	1.115
254.99	1.011
255	0.908
255.01	0.809
255.02	0.713
255.03	0.617
255.04	0.519
255.05	0.428
255.06	0.351
255.07	0.298
255.08	0.271
255.09	0.274
255.1	0.306
255.11	0.362
255.12	0.437
255.13	0.527
